rank,hidden_dims,epochs,best_epoch,batch_size,learning_rate,optimizer,l2_penalty,random_state,train_accuracy,val_accuracy,test_accuracy,train_macro_f1,val_macro_f1,test_macro_f1,train_loss,val_loss,test_loss,fit_seconds
1,"64,32",70,17,256,0.001,adam,0.005,42,0.9927,0.7774498229043684,0.7655129404427814,0.9927010504070649,0.7905929852237435,0.7598223732640766,0.07050315043174422,0.9064794602870317,0.8871578332346806,13.471388578414917
2,"64,32",70,18,256,0.001,adam,0.01,42,0.9827,0.7774498229043684,0.764265668849392,0.9826975839960077,0.7904007019251723,0.7600995575159479,0.1256841583143746,0.848097764576313,0.8279940901630075,13.597360372543335
3,"128,64",60,17,256,0.001,adam,0.003,42,0.999,0.7768595041322314,0.7667602120361708,0.9989999809995849,0.7889305525143927,0.7602436012764231,0.03419514602976111,0.9406337428490589,0.9281776089254433,18.73077654838562
4,96,70,13,256,0.001,adam,0.005,42,0.9909,0.775974025974026,0.7648893046460867,0.9908986100556731,0.7892962882827934,0.7598076216007044,0.08451001480439618,0.8616311950926921,0.8404853584244455,2.3693666458129883
5,96,70,17,256,0.001,adam,0.003,42,0.9958,0.775974025974026,0.7636420330526972,0.9957985116659749,0.7883512013238503,0.758363220515884,0.05258528930623469,0.896803085883172,0.8709185633173188,11.431106567382812
6,64,70,15,256,0.001,adam,0.005,42,0.9896,0.7747933884297521,0.7661365762394762,0.9895952500254598,0.7887787125266063,0.7630113027485413,0.08842877394572757,0.8628407372509164,0.8529224838526712,10.771869421005249
7,64,70,6,256,0.001,adam,0.01,42,0.9658,0.7747933884297521,0.7623947614593077,0.9658270960972857,0.7876874547316998,0.7577983141463593,0.19485024882768237,0.828583646151672,0.8282485586830322,7.150985240936279
8,64,70,13,256,0.001,adam,0.003,42,0.9913,0.7747933884297521,0.7602120361708762,0.9912988169139411,0.7887823443076898,0.755522236665008,0.07507218383863144,0.8939342093214713,0.8854002894876968,7.996882677078247
9,128,60,14,256,0.001,adam,0.003,42,0.9973,0.7739079102715466,0.7633302151543498,0.997299093799071,0.7872182401727784,0.7596608617198417,0.052901786145207096,0.9191210554963288,0.8900409763333184,7.506380558013916
10,"64,32",70,17,256,0.001,adam,0.003,42,0.9961,0.7724321133412042,0.7592765824758341,0.9960995259427335,0.7842371816136826,0.7537048517844692,0.04797503049675662,0.9842482814254844,0.9686945026002446,13.0300133228302
